종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"097950","CJ제일제당","KOSPI",,"411000","3500","0.86","407000","417000","404500","46879","19259026000","6187270446000","15054186"
"097955","CJ제일제당 우","KOSPI",,"168500","500","0.30","168000","170000","165500","4934","829897500","223672460500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","35100","1300","3.85","33600","35250","32700","40890","1410487250","416692668600","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2245","-10","-0.44","2250","2290","2225","495063","1112702500","311813087780","138892244"
"023460","CNH","KOSDAQ","중견기업부","2395","-10","-0.42","2355","2590","2335","1417109","3564739555","89094000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110449763600","35628956"
"065770","CS","KOSDAQ","벤처기업부","1420","-5","-0.35","1410","1430","1360","59655","83378625","27563804600","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1005","-20","-1.95","1015","1025","970","21230","21059877","39648448965","39451193"
"000590","CS홀딩스","KOSPI",,"53800","100","0.19","52900","54700","52100","3135","166981000","62111131600","1154482"
"012030","DB","KOSPI",,"738","40","5.73","690","775","690","1580428","1159035592","148466362554","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2105","-5","-0.24","2110","2125","2095","11475","24114535","12293200000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2140","-20","-0.93","2135","2155","2105","5690","12080015","12947000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2125","0","0.00","2125","2125","2105","3075","6474675","10285000000","4840000"
"016610","DB금융투자","KOSPI",,"4370","-20","-0.46","4350","4450","4350","22460","98833925","185490719930","42446389"
"005830","DB손해보험","KOSPI",,"55200","-1400","-2.47","57200","57700","55100","208181","11634400960","3908160000000","70800000"
"000990","DB하이텍","KOSPI",,"37350","1150","3.18","34850","37750","34800","753247","27755976400","1658287261800","44398588"
